Children,Elderly,NonWhite,Poverty,Education,English,Elevation,SeaLevelRise,Precipitation,Diabetes,MentalHealth,Asthma,Disability,HousingQuality,Homeless,LivAlone,FloodHealthIndex,INTPTLAT10,INTPTLON10,geo
0.195712062,0.154000059,0.539,0.16022907,0.933000335,0.095000041,382.862,0.0,0.00997721,6.3782,10.7049,2.4967,0.067000028,1.89394,0.2606,0.179000086,29.9663,37.7515996,-122.4635523,POINT(-122.4635523 37.7515996)
0.078237765,0.122999631,0.348002,0.208415375,0.947997156,0.033999898,62.2476,0.0,0.00762417,6.0947,6.21,3.1649,0.104999685,10.9127,2.1589,0.438998683,53.8528,37.7634962,-122.4319123,POINT(-122.4319123 37.7634962)
0.082187027,0.117000032,0.485,0.328246062,0.898000342,0.079000017,29.806,0.0,0.00143536,14.961,49.5961,8.6608,0.178000027,6.90845,2.1589,0.514000144,62.1929,37.7655894,-122.42418,POINT(-122.42418 37.7655894)
0.078237765,0.122999631,0.348002,0.208415375,0.947997156,0.033999898,62.2476,0.0,0.00762417,6.0947,6.21,3.1649,0.104999685,10.9127,2.1589,0.438998683,53.8528,37.7635138,-122.4262741,POINT(-122.4262741 37.7635138)
0.079893085,0.124000121,0.650999,0.509706339,0.724000928,0.232000082,13.9179,0.0,0.0137591,16.0125,62.05,10.5693,0.238000184,11.5778,3.2195,0.522000531,80.8327,37.7692363,-122.4214052,POINT(-122.4214052 37.7692363)
0.079892839,0.123999713,0.651,0.509704649,0.723998656,0.231999301,13.3651,0.0,0.00203913,14.5435,44.6513,7.9031,0.237999333,10.6317,3.2195,0.521998794,75.4995,37.7653344,-122.4216718,POINT(-122.4216718 37.7653344)
0.082187027,0.117000032,0.485,0.328246062,0.898000342,0.079000017,29.806,0.0,0.00143536,14.961,49.5961,8.6608,0.178000027,6.90845,2.1589,0.514000144,62.1929,37.7636033,-122.4233434,POINT(-122.4233434 37.7636033)
0.088483,0.102,0.695,0.42737,0.716,0.19,13.4626,0.0,0.0420492,13.9,37.03,6.7351,0.111,4.68823,3.2195,0.402,74.546,37.762815,-122.4205691,POINT(-122.4205691 37.762815)
0.088483,0.102,0.695,0.42737,0.716,0.19,15.3961,0.0,0.00580859,13.9,37.03,6.7351,0.111,4.76425,3.2195,0.402,71.2061,37.7609683,-122.420394,POINT(-122.420394 37.7609683)
0.088483,0.102,0.695,0.42737,0.716,0.19,35.7277,0.0,0.00184849,13.9,37.03,6.7351,0.111,5.20569,3.2195,0.402,67.2062,37.756133,-122.4204879,POINT(-122.4204879 37.756133)
0.062135994,0.086000005,0.221,0.088033993,0.980999693,0.020999989,244.202,0.0,0.00303996,5.9019,5.4743,3.0778,0.079999994,14.6359,2.1589,0.449999884,37.5197,37.758101,-122.4430774,POINT(-122.4430774 37.758101)
